time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1678	1.3423	5.19248	0.222973	0.187587	radar	4.8452	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3937	1.42338	5.16231	0.244431	0.20244	lidar	1.1913	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6263	1.5074	5.07479	0.26763	0.221031	radar	4.13366	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8527	1.54002	5.04303	0.263716	0.203548	lidar	1.22839	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1179	1.59126	5.08418	0.264242	0.190932	radar	1.89516	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3973	1.63856	5.12234	0.261598	0.175798	lidar	1.93837	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6288	1.69592	5.07469	0.268157	0.17428	radar	0.890018	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8593	1.76106	5.05639	0.27676	0.174343	lidar	0.34879	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1147	1.85014	5.11293	0.29157	0.180092	radar	1.39714	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3578	1.88041	5.09524	0.280695	0.156348	lidar	0.66425	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6134	1.94129	5.13946	0.281213	0.146	radar	0.941466	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.814	2.07469	5.1057	0.320993	0.185245	lidar	3.35289	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0802	2.18103	5.19715	0.336134	0.189106	radar	3.48248	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2838	2.32179	5.1688	0.374485	0.223956	lidar	2.59837	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4647	2.46542	5.05556	0.418406	0.26853	radar	10.9934	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.714	2.58207	5.08568	0.434824	0.271786	lidar	0.871263	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9339	2.69488	5.06396	0.452634	0.278099	radar	0.223423	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1625	2.8488	5.08929	0.484423	0.299036	lidar	0.666423	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.412	2.958	5.15621	0.486608	0.278791	radar	1.4768	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6188	3.03213	5.10329	0.483204	0.258947	lidar	2.19501	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8499	3.18428	5.16298	0.506047	0.267042	radar	3.83013	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0574	3.37659	5.18605	0.55005	0.302965	lidar	1.20009	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2686	3.54229	5.17107	0.58151	0.325517	radar	2.57726	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4822	3.73003	5.20164	0.616112	0.346679	lidar	0.70755	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6938	3.86449	5.18736	0.626402	0.338864	radar	0.960733	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9154	4.00855	5.19434	0.636874	0.331177	lidar	0.213339	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1109	4.17205	5.14706	0.664244	0.35058	radar	1.79775	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3085	4.36683	5.1726	0.695881	0.366713	lidar	0.411063	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5185	4.53088	5.18972	0.709032	0.35934	radar	0.637233	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6969	4.69926	5.17057	0.729937	0.363045	lidar	0.485561	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.85	4.89244	5.07722	0.775753	0.410181	radar	4.60541	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0147	5.11681	5.10597	0.81608	0.432794	lidar	0.610992	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1843	5.28805	5.07202	0.835435	0.433971	radar	1.73912	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.344	5.46898	5.05546	0.856126	0.433081	lidar	0.21493	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4996	5.63963	5.00553	0.876314	0.436898	radar	3.25519	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6931	5.76348	4.96168	0.865012	0.399448	lidar	1.81114	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8361	5.96081	4.92376	0.897989	0.422428	radar	1.11277	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0106	6.15006	4.93837	0.910935	0.412822	lidar	0.728771	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1598	6.35775	4.95083	0.935273	0.417039	radar	0.685489	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2818	6.5939	4.97392	0.973968	0.437175	lidar	0.564315	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4132	6.80785	4.96854	1.00197	0.446985	radar	0.259862	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5615	6.94529	4.89338	0.997105	0.417024	lidar	2.1276	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7105	7.15167	4.92648	1.00718	0.39837	radar	0.642319	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9075	7.29026	4.88699	0.985277	0.35143	lidar	4.04375	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
